Type,Vehicles Category,Type of Vehicles,Newly registered - 2002-03,Newly registered - 2003-04,Total registered as on - 31.3.2003,Total registered as on - 31.3.2004,source_file,Newly registered-2004-05,Newly registered-2005-06,Total registered as on 31.3.2005,Total registered as on 31.3.2006,Newly registered-2009-10,Newly registered-2010-11,Total registered as on 31st March-2010,Total registered as on 31st March-2011,Newly registered-2006-07,Newly registered-2007-08,Newly registered-2008-09,Total registered as on 2007,Total registered as on 2008,Total registered as on 2009,Newly registered-2011-12,Total registered as on 31st March 2012
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Stage carriages,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,1555.0,1494.0,21209.0,22703.0,,,,,,,,
Transport,V. Taxis,Motor cabs,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,7347.0,5419.0,38204.0,43623.0,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,12392.0,17422.0,74968.0,92390.0,,,,,,,,
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,Total Transport(I to VII),Total Transport,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,29767.0,31322.0,200866.0,232188.0,,,,,,,,
Non Transport,I. Two wheelers,Scooters,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Mopeds,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Non Transport,Total-I. Two wheelers,Total Two wheelers,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,241856.0,292404.0,1606613.0,1899017.0,,,,,,,,
Non Transport,II. Cars,Cars,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,14954.0,18814.0,188031.0,136845.0,,,,,,,,
Non Transport,III. Jeeps,Jeeps,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,9862.0,9746.0,66132.0,75878.0,,,,,,,,
Non Transport,IV. Omni buses,Omni buses,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Non Transport,V. Tractors,Tractors,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,19496.0,21055.0,175500.0,196555.0,,,,,,,,
Non Transport,VI. Trailers,Trailers,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,10529.0,10942.0,104272.0,115214.0,,,,,,,,
Non Transport,VII. Other vehicles not covered,Other vehicles not covered,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,969.0,1948.0,15572.0,17512.0,,,,,,,,
Non Transport,Total Non Transport (I to VII),Total Non-Transport,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,297666.0,354909.0,2156120.0,2441021.0,,,,,,,,
Transport + Non-transport,Grand Total (Transport + Non-Transport),Grand Total (Transport + Non-Transport),,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,327433.0,386231.0,2356986.0,2673209.0,,,,,,,,
,,,,,,,2.3.4_Bihar_rtyb_2010_11_1.csv,,,,,,,,,,,,,,,,
Transport,I. Multiaxled / Articulated Vehicles,Multiaxled / Articulated Vehicles,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,II. Trucks & Lorries,Trucks & Lorries,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,1989.0,2409.0,3598.0,52005.0,54414.0,58012.0,,
Transport,III. Light Motor Vehicles (Goods),Four Wheelers,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,III. Light Motor Vehicles (Goods),Three Wheelers,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,5027.0,6030.0,8423.0,48123.0,54153.0,62576.0,,
Transport,Total-III. Light Motor Vehicles (Goods),Total Light Motor Vehicles (Goods),,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,5027.0,6030.0,8423.0,48123.0,54153.0,62576.0,,
Transport,IV. Buses,Stage carriages,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Contract carriages,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Private service vehicles,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,IV. Buses,Other buses,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,Total-IV. Buses,Total Buses,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,921.0,1341.0,1121.0,17192.0,18533.0,19654.0,,
Transport,V. Taxis,Motor cabs,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Maxi cabs,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,V. Taxis,Other taxis,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,Total- V. Taxis,Total Taxis,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,1326.0,3042.0,3791.0,24024.0,27066.0,30857.0,,
Transport,VI. Light Motor Vehicles (Passengers),Three seaters,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,VI. Light Motor Vehicles (Passengers),Four to six seaters,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Transport,Total- VI. Light Motor Vehicles (Passengers),Total Light Motor Vehicles (Passengers),,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
Transport,VII. Motor cycles on hire,Motor cycles on hire,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
Transport,Total Transport(I to VII),Total Transport,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,9263.0,12822.0,16933.0,141344.0,154166.0,171099.0,,
Non Transport,I. Two wheelers,Scooters,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Mopeds,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
Non Transport,I. Two wheelers,Motor cycles,,,,,2.4.4_Bihar_rtyb_2007_09_1.csv,,,,,,,,,,,,,,,,
